order_id,customer_id,store_id,employee_id,order_date,payment_method,order_status
1,352,81,912,2025-09-16,UPI,Cancelled
2,688,73,325,2025-09-08,Debit Card,Cancelled
3,390,25,788,2025-10-16,UPI,Cancelled
4,812,81,310,2024-03-14,Credit Card,Completed
5,492,44,274,2024-07-10,Credit Card,Returned
6,161,66,67,2024-10-15,UPI,Returned
7,133,2,868,2025-01-03,UPI,Pending
8,723,100,119,2025-08-23,Net Banking,Pending
9,47,13,199,2025-06-14,UPI,Cancelled
10,469,32,478,2025-10-20,Debit Card,Returned
11,868,42,62,2025-06-12,UPI,Cancelled
12,757,38,233,2024-10-21,Net Banking,Cancelled
13,187,96,538,2025-03-08,Cash,Cancelled
14,535,55,472,2024-09-06,Cash,Cancelled
15,505,48,394,2024-02-07,Cash,Returned
16,160,21,461,2024-08-27,UPI,Returned
17,875,64,519,2025-03-02,UPI,Completed
18,415,47,21,2025-01-07,Credit Card,Returned
19,17,33,668,2025-04-05,Credit Card,Cancelled
20,952,30,165,2025-04-24,Net Banking,Pending
21,124,84,669,2024-05-20,Debit Card,Cancelled
22,295,31,753,2024-08-07,Cash,Pending
23,273,7,868,2025-01-24,Net Banking,Completed
24,902,17,283,2024-11-19,Credit Card,Completed
25,797,12,57,2025-09-18,Net Banking,Cancelled
26,815,23,360,2024-08-29,Net Banking,Returned
27,812,77,882,2025-12-02,Cash,Cancelled
28,1000,89,893,2024-06-08,Net Banking,Pending
29,317,59,558,2025-09-26,Cash,Pending
30,734,75,821,2025-07-24,Net Banking,Completed
31,990,18,576,2025-07-30,Debit Card,Pending
32,312,96,537,2024-07-31,UPI,Completed
33,179,54,908,2025-10-05,Cash,Returned
34,36,82,79,2025-07-13,Cash,Returned
35,908,48,876,2025-11-10,Net Banking,Returned
36,190,33,530,2024-07-12,Debit Card,Returned
37,939,96,706,2024-11-27,Cash,Completed
38,622,89,386,2025-11-12,Credit Card,Returned
39,687,75,977,2025-09-14,UPI,Completed
40,777,34,37,2024-05-18,Credit Card,Pending
41,573,96,941,2024-01-14,UPI,Completed
42,716,42,830,2025-08-18,Debit Card,Returned
43,470,83,830,2025-07-21,Cash,Cancelled
44,643,74,639,2025-02-12,Net Banking,Pending
45,272,89,935,2025-06-25,UPI,Completed
46,521,51,617,2025-02-05,UPI,Pending
