product_id,product_name,category,brand,price,stock_quantity
1,Have Class,Sports,Frost-Blake,1555.09,804
2,Happy Him,Home & Kitchen,"Nelson, Duffy and Garrison",1418.66,860
3,White War,Books,Mayo-Jackson,1160.72,904
4,Nation Red,Clothing,Elliott-Villanueva,1307.02,462
5,Media Nothing,Furniture,"Bailey, Murray and Carlson",1170.85,544
6,Strong Decade,Automotive,Peterson Group,977.8,535
7,Lot Rich,Furniture,Arnold-Franco,183.43,842
8,Pull Half,Home & Kitchen,Le Group,360.54,351
9,Our Century,Groceries,Barnes Group,829.77,333
10,Bad Congress,Electronics,Huffman and Sons,889.06,768
11,Money Computer,Beauty,Lee Inc,1960.4,300
12,Imagine Certain,Toys,Thomas Ltd,481.0,443
13,Professor They,Groceries,"Jennings, Lopez and Gonzalez",426.2,654
14,Season Discover,Furniture,"Harrison, Peterson and Young",108.82,754
15,Home Ready,Automotive,Terry-Chaney,950.53,400
16,Already Indicate,Home & Kitchen,Lara-Dickerson,247.38,107
17,Debate Attack,Books,"Kelly, Rosales and Richardson",142.37,577
18,Tend Congress,Books,Duncan Ltd,257.22,253
19,One Push,Toys,Randall-Farrell,392.99,940
20,Head Once,Electronics,"Richardson, Brown and Edwards",583.53,402
21,Consumer Adult,Beauty,Hebert Group,17.66,188
22,Garden Market,Furniture,"Conrad, Smith and Smith",81.59,575
23,Apply Particular,Furniture,Ross-Fisher,1986.8,394
24,Executive Discussion,Toys,"Clark, French and Williams",1318.97,801
25,Prepare Mean,Furniture,Montgomery-Sherman,183.17,179
26,Force Culture,Electronics,Hill-Norman,1413.69,671
27,See Sport,Toys,Bryant-Smith,1228.62,394
28,Capital Forward,Automotive,Butler Inc,1173.84,126
29,Window Western,Furniture,"Barry, Reed and Santos",1418.22,627
30,Because Job,Furniture,Parker Group,1393.3,431
31,Picture Land,Sports,"Thornton, Martinez and Young",25.63,378
32,Sell Medical,Clothing,Lynn Group,332.78,922
33,Bank Return,Books,Mcdonald Inc,851.9,302
34,Team Sometimes,Home & Kitchen,Webb LLC,996.78,680
35,Tax Success,Sports,Carr-Mckee,59.32,432
36,Movie Drop,Furniture,Guerra-Gibson,1211.6,825
37,Enough Force,Automotive,Adams-Tanner,453.04,308
38,Garden Defense,Beauty,Davies-Jenkins,1677.26,418
