shipment_id,supplier_id,product_id,store_id,shipment_date,quantity
1,326,501,80,2024-02-21,726
2,494,2353,2,2024-12-23,659
3,190,453,55,2024-07-27,272
4,311,293,41,2024-08-05,363
5,333,975,78,2025-12-02,775
6,156,3580,80,2025-10-27,639
7,410,4503,57,2024-12-29,968
8,340,4382,46,2025-06-06,459
9,170,820,22,2025-04-29,355
10,324,3494,13,2025-02-03,979
11,318,1827,75,2024-07-03,56
12,160,742,2,2025-05-29,267
13,61,599,17,2025-06-11,785
14,172,4519,37,2025-06-28,101
15,493,3922,34,2025-06-19,732
16,211,737,35,2025-07-02,93
17,433,4295,5,2024-02-23,538
18,382,2606,62,2025-03-04,91
19,303,521,56,2024-02-17,174
20,220,3246,44,2024-07-24,229
21,467,4062,66,2025-10-08,467
22,310,373,71,2025-04-03,958
23,157,3586,37,2024-09-11,758
24,468,3194,23,2025-12-22,553
25,430,208,62,2024-03-19,883
26,218,4808,48,2024-07-16,577
27,287,2196,57,2025-04-11,555
28,352,832,34,2024-04-13,160
29,33,3150,58,2025-11-15,485
30,376,4050,26,2025-09-08,736
31,86,2634,81,2025-12-08,616
32,166,3076,52,2025-04-24,461
33,449,3698,74,2025-07-28,292
34,286,1281,78,2024-11-26,735
35,314,773,59,2024-01-30,482
36,420,1424,99,2025-08-07,866
37,490,2251,6,2025-05-02,600
38,473,2313,81,2024-06-11,515
39,69,4253,65,2024-09-13,704
40,15,4750,26,2025-11-21,328
41,477,395,37,2024-11-06,636
42,466,877,88,2025-10-23,996
43,448,712,90,2024-03-15,463
44,250,1492,4,2025-11-16,435
45,493,2462,95,2024-10-26,187
46,81,3518,82,2024-02-04,937
47,311,4521,43,2025-11-24,500
48,182,2885,49,2024-01-06,870
49,103,1933,8,2024-09-04,635
50,101,4717,79,2025-03-24,491
51,78,3639,35,2024-09-17,316
52,221,1626,56,2025-11-08,708
53,152,2054,77,2024-09-07,771
54,243,366,2,2025-09-21,298
55,410,3340,50,2024-07-03,158
56,319,570,51,2024-10-11,82
57,134,3820,77,2024-06-25,87
58,333,4994,80,2025-03-14,972
59,213,1058,39,2025-03-30,794
60,132,58,96,2024-07-15,833
61,332,4430,73,2024-07-31,761
62,248,1718,88,2025-03-25,446
63,13,2782,34,2025-02-10,317
64,132,141,16,2025-05-04,254
65,73,4190,21,2024-06-12,302
66,125,4075,18,2024-04-26,414
67,421,2017,94,2024-01-21,125
68,444,3087,72,2024-02-28,187
69,65,4081,1,2025-07-27,492
70,203,4870,65,2024-07-30,433
71,99,4879,47,2024-12-06,728
72,190,4235,17,2025-03-20,987
73,410,4628,49,2024-01-05,955
74,278,640,46,2025-01-05,243
75,447,2963,99,2024-04-23,978
76,417,2819,20,2024-02-20,854
77,254,3189,67,2024-06-02,891
78,165,1255,91,2024-03-11,586
79,391,29,15,2024-11-17,928
80,393,4073,97,2025-12-04,926
81,184,3913,67,2025-01-15,574
82,229,3957,57,2025-04-05,509
83,167,4049,75,2025-11-15,306
84,449,565,100,2024-07-15,851
85,356,4246,68,2025-12-07,185
86,115,1039,38,2024-07-10,348
87,345,4668,39,2025-11-26,673
88,285,1423,67,2024-11-26,521
89,279,2394,3,2024-08-18,564
90,60,507,65,2024-04-29,552
91,133,3426,75,2024-08-09,511
92,215,3172,98,2025-05-12,267
93,172,3178,57,2024-12-16,785
94,251,873,10,2025-07-05,853
95,21,2185,9,2025-09-19,322
96,54,4769,63,2024-02-17,871
97,467,1590,38,2024-12-08,75
98,349,1601,65,2025-10-07,924
99,344,1427,25,2025-06-26,537
100,435,3547,32,2024-02-10,77
101,373,3137,56,2025-01-21,544
102,112,2013,2,2025-07-18,320
103,89,3193,31,2024-01-15,495
104,21,1046,25,2024-09-21,744
105,144,1622,13,2024-08-08,813
106,208,646,25,2024-03-20,396
107,205,1053,4,2024-08-24,887
108,85,3092,40,2025-09-18,367
109,426,4421,72,2024-06-10,869
110,443,1088,91,2025-04-15,360
111,203,4264,31,2024-09-21,292
112,366,4860,22,2025-05-30,680
113,265,994,23,2025-09-18,561
114,171,848,19,2025-05-09,125
115,61,3170,77,2024-08-30,677
116,202,585,13,2025-08-31,715
117,13,414,17,2024-11-02,576
118,164,473,4,2024-10-07,510
119,122,3505,53,2025-06-06,745
120,427,4427,30,2025-11-27,80
121,439,3892,97,2024-07-14,225
122,193,4528,66,2025-09-29,652
123,349,1659,76,2025-05-19,322
124,365,4450,45,2025-12-31,146
125,46,4865,9,2024-03-04,499
126,77,4144,5,2025-06-12,145
127,325,1809,79,2025-12-26,508
128,391,323,83,2024-02-03,931
129,212,3451,40,2024-02-29,157
130,169,2045,80,2025-04-23,431
131,409,818,9,2025-10-24,310
